,ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
113,917.0,41980.0,1.0,1.0,1.0,1.0
114,918.0,41980.0,1.0,1.0,1.0,1.0
115,920.0,41980.0,1.0,1.0,1.0,1.0
116,921.0,41980.0,1.0,1.0,1.0,1.0
117,923.0,41980.0,1.0,1.0,1.0,1.0
118,924.0,41980.0,1.0,1.0,1.0,1.0
119,925.0,41980.0,1.0,1.0,1.0,1.0
120,926.0,41980.0,1.0,1.0,1.0,1.0
121,927.0,41980.0,1.0,1.0,1.0,1.0
122,934.0,41980.0,1.0,1.0,1.0,1.0
123,935.0,41980.0,0.0,1.0,0.0,1.0
124,936.0,41980.0,0.0,0.0,1.0,1.0
125,940.0,41980.0,0.0,0.0,1.0,1.0
126,949.0,41980.0,1.0,1.0,1.0,1.0
127,952.0,41980.0,1.0,1.0,1.0,1.0
128,953.0,41980.0,1.0,1.0,1.0,1.0
129,956.0,41980.0,1.0,1.0,1.0,1.0
130,957.0,41980.0,1.0,1.0,1.0,1.0
131,959.0,41980.0,1.0,1.0,1.0,1.0
132,961.0,41980.0,1.0,1.0,1.0,1.0
133,962.0,41980.0,1.0,1.0,1.0,1.0
134,965.0,41980.0,1.0,1.0,1.0,1.0
135,966.0,41980.0,1.0,1.0,1.0,1.0
136,968.0,41980.0,1.0,1.0,1.0,1.0
137,969.0,41980.0,1.0,1.0,1.0,1.0
138,971.0,41980.0,1.0,1.0,1.0,1.0
139,975.0,41980.0,0.0,1.0,1.0,1.0
140,976.0,41980.0,1.0,1.0,1.0,1.0
141,979.0,41980.0,1.0,1.0,1.0,1.0
142,982.0,41980.0,1.0,1.0,1.0,1.0
143,983.0,41980.0,1.0,1.0,1.0,1.0
144,985.0,41980.0,1.0,1.0,1.0,1.0
145,987.0,41980.0,1.0,1.0,1.0,1.0
146,1001.0,44140.0,1.0,1.0,1.0,1.0
147,1002.0,24640.0,0.011091549,0.001135074,0.0037664779999999998,0.010100219
148,1002.0,44140.0,0.9889084509999999,0.998864926,0.996233522,0.989899781
149,1003.0,44140.0,1.0,1.0,1.0,1.0
150,1004.0,44140.0,1.0,1.0,1.0,1.0
151,1005.0,49340.0,1.0,1.0,1.0,1.0
152,1007.0,44140.0,1.0,1.0,1.0,1.0
153,1008.0,38340.0,0.035123967,0.05,0.0,0.035363458
154,1008.0,44140.0,0.964876033,0.95,1.0,0.964636542
155,1009.0,44140.0,0.0,1.0,0.0,1.0
156,1010.0,44140.0,0.982222222,1.0,0.0,0.982651797
157,1010.0,49340.0,0.017777778,0.0,0.0,0.017348203
158,1011.0,38340.0,0.00814664,0.025,0.0,0.009310987
159,1011.0,44140.0,0.99185336,0.975,1.0,0.990689013
160,1012.0,44140.0,1.0,1.0,1.0,1.0
161,1013.0,44140.0,1.0,1.0,1.0,1.0
162,1014.0,44140.0,1.0,1.0,1.0,1.0
163,1020.0,44140.0,1.0,1.0,1.0,1.0
164,1021.0,44140.0,1.0,1.0,1.0,1.0
165,1022.0,44140.0,1.0,1.0,1.0,1.0
166,1026.0,38340.0,0.039927405,0.04,0.0,0.039182283
167,1026.0,44140.0,0.960072595,0.96,1.0,0.9608177170000001
168,1027.0,44140.0,1.0,1.0,1.0,1.0
169,1028.0,44140.0,1.0,1.0,1.0,1.0
170,1029.0,38340.0,1.0,0.0,1.0,1.0
171,1030.0,44140.0,1.0,1.0,1.0,1.0
172,1031.0,49340.0,1.0,1.0,1.0,1.0
173,1032.0,44140.0,1.0,0.0,1.0,1.0
174,1033.0,44140.0,1.0,1.0,1.0,1.0
175,1034.0,44140.0,1.0,1.0,1.0,1.0
176,1035.0,44140.0,1.0,1.0,1.0,1.0
177,1036.0,44140.0,1.0,1.0,1.0,1.0
178,1037.0,49340.0,1.0,1.0,0.0,1.0
179,1038.0,44140.0,1.0,1.0,1.0,1.0
180,1039.0,24640.0,0.18836140899999998,0.0,0.25,0.185185185
181,1039.0,44140.0,0.8116385909999999,1.0,0.75,0.814814815
182,1040.0,44140.0,1.0,1.0,1.0,1.0
183,1041.0,44140.0,1.0,1.0,1.0,1.0
184,1050.0,44140.0,1.0,1.0,1.0,1.0
185,1053.0,44140.0,1.0,1.0,1.0,1.0
186,1054.0,24640.0,1.0,1.0,1.0,1.0
187,1056.0,44140.0,1.0,1.0,1.0,1.0
188,1057.0,44140.0,1.0,1.0,1.0,1.0
189,1059.0,44140.0,0.0,1.0,0.0,1.0
190,1060.0,44140.0,1.0,1.0,1.0,1.0
191,1061.0,44140.0,1.0,1.0,1.0,1.0
192,1062.0,44140.0,1.0,1.0,1.0,1.0
193,1063.0,44140.0,0.0,1.0,1.0,1.0
194,1066.0,44140.0,1.0,1.0,0.0,1.0
195,1068.0,49340.0,1.0,1.0,1.0,1.0
196,1069.0,44140.0,1.0,1.0,1.0,1.0
197,1070.0,24640.0,0.007246376999999999,0.0,0.0,0.007168459
198,1070.0,44140.0,0.9927536229999999,1.0,1.0,0.9928315409999999
199,1071.0,44140.0,1.0,1.0,1.0,1.0
200,1072.0,24640.0,1.0,1.0,1.0,1.0
201,1073.0,44140.0,1.0,1.0,1.0,1.0
202,1074.0,49340.0,0.0,1.0,0.0,1.0
203,1075.0,44140.0,1.0,1.0,1.0,1.0
204,1077.0,44140.0,1.0,1.0,1.0,1.0
205,1079.0,44140.0,1.0,1.0,0.0,1.0
206,1080.0,44140.0,1.0,1.0,1.0,1.0
207,1081.0,44140.0,1.0,1.0,1.0,1.0
208,1082.0,44140.0,0.9333201809999999,0.7896174859999999,0.946502058,0.9246213459999999
209,1082.0,49340.0,0.066679819,0.210382514,0.053497942,0.075378654
210,1083.0,49340.0,0.0,0.0,1.0,1.0
211,1084.0,44140.0,1.0,0.0,1.0,1.0
212,1085.0,44140.0,1.0,1.0,1.0,1.0
213,1088.0,44140.0,1.0,1.0,1.0,1.0
214,1089.0,44140.0,1.0,1.0,1.0,1.0
215,1090.0,44140.0,1.0,1.0,1.0,1.0
216,1092.0,49340.0,0.0,0.0,1.0,1.0
217,1093.0,24640.0,1.0,0.0,1.0,1.0
218,1094.0,49340.0,0.0,1.0,1.0,1.0
219,1095.0,44140.0,1.0,1.0,1.0,1.0
220,1096.0,24640.0,0.104651163,0.0625,0.0,0.103412616
221,1096.0,44140.0,0.895348837,0.9375,1.0,0.896587384
222,1098.0,38340.0,0.001988072,0.0,0.0,0.001945525
223,1098.0,44140.0,0.9980119279999999,1.0,1.0,0.998054475
224,1101.0,44140.0,1.0,1.0,1.0,1.0
225,1103.0,44140.0,1.0,1.0,1.0,1.0
226,1104.0,44140.0,1.0,1.0,1.0,1.0
227,1105.0,44140.0,1.0,1.0,1.0,1.0
228,1106.0,44140.0,1.0,1.0,1.0,1.0
229,1107.0,44140.0,1.0,1.0,1.0,1.0
230,1108.0,44140.0,1.0,1.0,1.0,1.0
231,1109.0,44140.0,1.0,1.0,1.0,1.0
232,1111.0,44140.0,0.0,1.0,0.0,1.0
233,1115.0,44140.0,0.0,1.0,1.0,1.0
234,1116.0,44140.0,1.0,1.0,1.0,1.0
235,1118.0,44140.0,1.0,1.0,1.0,1.0
236,1119.0,44140.0,1.0,1.0,1.0,1.0
237,1128.0,44140.0,1.0,1.0,1.0,1.0
238,1129.0,44140.0,1.0,1.0,1.0,1.0
239,1138.0,44140.0,1.0,1.0,1.0,1.0
240,1139.0,44140.0,1.0,1.0,1.0,1.0
241,1144.0,44140.0,0.0,1.0,1.0,1.0
242,1151.0,44140.0,1.0,1.0,1.0,1.0
243,1152.0,44140.0,0.0,1.0,1.0,1.0
244,1199.0,44140.0,0.0,1.0,0.0,1.0
245,1201.0,38340.0,1.0,1.0,1.0,1.0
246,1202.0,38340.0,1.0,1.0,1.0,1.0
247,1203.0,38340.0,0.0,0.0,1.0,1.0
248,1220.0,38340.0,1.0,1.0,1.0,1.0
249,1222.0,38340.0,1.0,1.0,1.0,1.0
250,1223.0,38340.0,0.9984825490000001,1.0,1.0,0.9985185190000001
251,1223.0,44140.0,0.001517451,0.0,0.0,0.001481481
252,1224.0,38340.0,1.0,0.0,1.0,1.0
253,1225.0,38340.0,1.0,1.0,1.0,1.0
254,1226.0,38340.0,1.0,1.0,1.0,1.0
255,1227.0,38340.0,1.0,1.0,1.0,1.0
256,1229.0,38340.0,0.0,1.0,0.0,1.0
257,1230.0,38340.0,1.0,1.0,1.0,1.0
258,1235.0,38340.0,0.961926092,0.972972973,1.0,0.963196635
259,1235.0,44140.0,0.038073908,0.027027027000000002,0.0,0.036803365
260,1236.0,38340.0,1.0,1.0,1.0,1.0
261,1237.0,38340.0,1.0,1.0,1.0,1.0
262,1238.0,38340.0,1.0,1.0,1.0,1.0
263,1240.0,38340.0,1.0,1.0,1.0,1.0
264,1242.0,38340.0,0.0,0.0,1.0,1.0
265,1243.0,44140.0,0.0,1.0,0.0,1.0
266,1244.0,38340.0,0.0,1.0,0.0,1.0
267,1245.0,38340.0,1.0,1.0,0.0,1.0
268,1247.0,24640.0,0.00021732,0.0,0.0,0.000188005
269,1247.0,38340.0,0.99978268,1.0,1.0,0.999811995
270,1252.0,38340.0,0.0,0.0,1.0,1.0
271,1253.0,38340.0,1.0,1.0,1.0,1.0
272,1254.0,38340.0,1.0,1.0,1.0,1.0
273,1255.0,38340.0,1.0,1.0,0.0,1.0
274,1256.0,38340.0,1.0,1.0,1.0,1.0
275,1257.0,38340.0,1.0,1.0,1.0,1.0
276,1258.0,38340.0,1.0,1.0,1.0,1.0
277,1259.0,38340.0,1.0,1.0,1.0,1.0
278,1260.0,38340.0,1.0,0.0,1.0,1.0
279,1262.0,38340.0,1.0,1.0,1.0,1.0
280,1263.0,38340.0,0.0,1.0,0.0,1.0
281,1264.0,38340.0,1.0,0.0,1.0,1.0
282,1266.0,38340.0,1.0,1.0,1.0,1.0
283,1267.0,38340.0,1.0,1.0,1.0,1.0
284,1270.0,38340.0,1.0,1.0,1.0,1.0
285,1301.0,24640.0,1.0,1.0,1.0,1.0
286,1302.0,24640.0,1.0,1.0,1.0,1.0
287,1330.0,24640.0,0.97856049,1.0,1.0,0.97979798
288,1330.0,44140.0,0.02143951,0.0,0.0,0.02020202
289,1331.0,24640.0,0.000995851,0.002570694,0.0,0.001060445
290,1331.0,49340.0,0.999004149,0.9974293059999999,1.0,0.998939555
291,1337.0,24640.0,1.0,1.0,1.0,1.0
292,1338.0,24640.0,1.0,1.0,1.0,1.0
293,1339.0,24640.0,1.0,1.0,1.0,1.0
294,1340.0,24640.0,1.0,1.0,1.0,1.0
295,1341.0,24640.0,1.0,1.0,1.0,1.0
296,1342.0,24640.0,1.0,1.0,1.0,1.0
297,1343.0,38340.0,1.0,1.0,1.0,1.0
298,1344.0,24640.0,1.0,1.0,1.0,1.0
299,1346.0,24640.0,1.0,0.0,1.0,1.0
300,1347.0,24640.0,1.0,0.0,1.0,1.0
301,1349.0,24640.0,1.0,1.0,1.0,1.0
302,1350.0,24640.0,0.0,0.0,1.0,1.0
303,1351.0,24640.0,1.0,1.0,1.0,1.0
304,1354.0,24640.0,1.0,1.0,1.0,1.0
305,1355.0,24640.0,1.0,1.0,1.0,1.0
306,1360.0,24640.0,1.0,1.0,1.0,1.0
307,1364.0,24640.0,0.999172185,0.997319035,1.0,0.99903218
308,1364.0,49340.0,0.000827815,0.002680965,0.0,0.00096782
309,1366.0,49340.0,1.0,1.0,1.0,1.0
310,1367.0,24640.0,0.9337539429999999,0.944444444,1.0,0.935103245
311,1367.0,38340.0,0.066246057,0.055555556,0.0,0.064896755
312,1368.0,49340.0,1.0,1.0,1.0,1.0
313,1370.0,24640.0,1.0,1.0,1.0,1.0
314,1373.0,24640.0,1.0,1.0,1.0,1.0
315,1375.0,24640.0,1.0,1.0,1.0,1.0
316,1376.0,24640.0,1.0,1.0,1.0,1.0
317,1378.0,24640.0,1.0,1.0,1.0,1.0
318,1379.0,24640.0,1.0,0.0,1.0,1.0
319,1380.0,24640.0,1.0,0.0,1.0,1.0
320,1420.0,49340.0,1.0,1.0,1.0,1.0
321,1430.0,49340.0,1.0,1.0,1.0,1.0
322,1431.0,15764.0,1.0,1.0,1.0,1.0
323,1432.0,15764.0,1.0,1.0,1.0,1.0
324,1434.0,15764.0,0.342391304,0.11619718300000001,0.35135135100000003,0.21584158399999998
325,1434.0,49340.0,0.657608696,0.8838028170000001,0.648648649,0.7841584159999999
326,1436.0,49340.0,1.0,1.0,1.0,1.0
327,1438.0,49340.0,0.0,0.0,1.0,1.0
328,1440.0,49340.0,1.0,1.0,1.0,1.0
329,1441.0,49340.0,0.0,0.0,1.0,1.0
330,1450.0,15764.0,1.0,1.0,1.0,1.0
331,1451.0,49340.0,1.0,1.0,1.0,1.0
332,1452.0,49340.0,1.0,1.0,1.0,1.0
333,1453.0,49340.0,1.0,1.0,1.0,1.0
334,1460.0,15764.0,1.0,1.0,1.0,1.0
335,1462.0,15764.0,0.0014036489999999999,0.0,0.0,0.001305727
336,1462.0,49340.0,0.998596351,1.0,1.0,0.998694273
337,1463.0,15764.0,1.0,1.0,1.0,1.0
338,1464.0,15764.0,1.0,1.0,1.0,1.0
339,1467.0,49340.0,0.0,0.0,1.0,1.0
340,1468.0,49340.0,1.0,1.0,1.0,1.0
341,1469.0,15764.0,1.0,1.0,1.0,1.0
342,1472.0,15764.0,0.0,0.0,1.0,1.0
