,default_wgt_sum,default_count,current_count
ad h,1.0,15.0,129300.0
ad i,2.0,34.0,129281.0
ad j,0.0,3.0,129312.0
ad k,1.0,2.0,129313.0
ad l,1.0,37.0,129278.0
ad m,2.98,107.0,129208.0
ad n,0.0,5.0,129310.0
ad o,3.25,112.0,129203.0
ad p,2.5,108.0,129207.0
ad q,0.0,2.0,129313.0
ad r,1.0,23.0,129292.0
ad s,3.75,145.0,129170.0
ad t,3.66,194.0,129121.0
ad u,0.0,5.0,129310.0
ad v,0.0,7.0,129308.0
ad w,1.5,21.0,129294.0
ad x,0.0,3.0,129312.0
ada ,0.0,3.0,129312.0
ada$,0.0,2.0,129313.0
adam,0.0,1.0,129314.0
adap,0.0,1.0,129314.0
adar,0.0,3.0,129312.0
aday,0.0,1.0,129314.0
adba,0.0,6.0,129309.0
adbi,0.0,1.0,129314.0
adca,0.0,15.0,129300.0
adco,0.0,3.0,129312.0
add ,0.75,8.0,129307.0
add$,0.0,1.0,129314.0
adde,0.0,1.0,129314.0
addi,0.0,5.0,129310.0
addl,0.75,2.0,129313.0
addm,0.0,1.0,129314.0
addr,0.0,2.0,129313.0
addy,0.0,1.0,129314.0
ade ,2.04,74.0,129241.0
ade$,0.0,3.0,129312.0
adee,0.0,1.0,129314.0
adel,0.0,3.0,129312.0
adem,1.98,71.0,129244.0
aden,0.0,2.0,129313.0
ader,25.33,704.0,128611.0
ades,0.23,22.0,129293.0
adet,0.0,1.0,129314.0
adge,0.0,1.0,129314.0
adh ,0.0,1.0,129314.0
adi$,0.0,1.0,129314.0
adia,1.75,34.0,129281.0
adil,0.0,1.0,129314.0
adin,2.0,58.0,129257.0
adio,6.48,192.0,129123.0
adis,0.0,1.0,129314.0
adit,0.0,1.0,129314.0
adjs,0.0,1.0,129314.0
adju,8.23,217.0,129098.0
adle,0.0,1.0,129314.0
adm ,2.0,30.0,129285.0
adm$,0.75,10.0,129305.0
adma,0.0,41.0,129274.0
adme,0.0,2.0,129313.0
admi,108.06000000000002,3223.0,126092.0
admn,0.0,3.0,129312.0
adne,0.0,1.0,129314.0
adni,0.0,1.0,129314.0
adnm,1.0,1.0,129314.0
adnu,0.0,2.0,129313.0
ado ,0.0,2.0,129313.0
adoc,0.0,1.0,129314.0
adof,0.0,1.0,129314.0
adol,0.0,1.0,129314.0
adon,0.0,4.0,129311.0
adop,1.0,4.0,129311.0
ador,0.75,16.0,129299.0
adow,0.0,2.0,129313.0
adpa,0.0,1.0,129314.0
adpe,1.0,3.0,129312.0
adqu,0.0,2.0,129313.0
adr ,0.0,2.0,129313.0
adro,0.0,2.0,129313.0
ads ,0.75,3.0,129312.0
ads$,0.0,1.0,129314.0
adsc,0.0,1.0,129314.0
adse,0.0,1.0,129314.0
adsi,0.0,1.0,129314.0
adss,0.0,2.0,129313.0
adst,0.0,1.0,129314.0
adte,0.0,1.0,129314.0
adua,0.0,32.0,129283.0
adul,0.0,19.0,129296.0
adv ,0.0,1.0,129314.0
adva,1.75,52.0,129263.0
adve,0.0,24.0,129291.0
advi,24.19,561.0,128754.0
advo,1.75,46.0,129269.0
adwa,0.0,2.0,129313.0
adwe,0.0,2.0,129313.0
adwo,0.0,3.0,129312.0
ady ,0.0,6.0,129309.0
ae 2,0.0,1.0,129314.0
ae2$,0.0,1.0,129314.0
aea ,0.0,1.0,129314.0
aec ,0.75,1.0,129314.0
aec$,0.0,1.0,129314.0
aect,0.0,1.0,129314.0
aedc,0.0,1.0,129314.0
aedi,0.0,1.0,129314.0
aedu,1.0,8.0,129307.0
aef$,0.0,1.0,129314.0
aeff,0.0,1.0,129314.0
aegi,0.0,1.0,129314.0
ael$,0.0,1.0,129314.0
aeme,0.0,1.0,129314.0
aene,0.0,1.0,129314.0
aeol,0.0,4.0,129311.0
aep$,1.0,1.0,129314.0
aer$,0.0,5.0,129310.0
