OOS Cutoff = 2015-01-01
Int Range: [0,7]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
  -19.72    4.75    5.36    2.12    1.06    6.42     526
    4.75    5.08    5.07    1.46    1.32    6.39     525
    5.08    5.29    6.07    1.22    0.34    6.41     526
    5.29    5.45    5.43    1.00    0.95    6.37     525
    5.45    5.60    6.26    0.91    0.18    6.44     525
    5.60    5.74    5.87    0.86    0.66    6.53     526
    5.74    5.88    6.30    0.78    0.28    6.59     525
    5.88    6.04    6.01    0.70    0.66    6.67     526
    6.04    6.25    6.05    0.61    0.70    6.75     525
    6.25    6.81    6.17    0.51    0.78    6.96     525
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.05    0.05    5.81    1.10    0.16    5.97     526
    0.05    0.05    5.65    0.77    0.38    6.03     525
    0.05    0.06    5.69    0.91    0.56    6.26     526
    0.06    0.06    6.02    1.20    0.44    6.46     525
    0.06    0.06    6.15    0.79    0.34    6.49     525
    0.06    0.06    5.84    0.76    0.72    6.56     526
    0.06    0.06    5.42    1.56    1.41    6.83     525
    0.06    0.06    5.69    1.39    1.25    6.94     526
    0.06    0.06    6.10    1.10    0.89    6.99     525
    0.06    0.07    6.21    0.59    0.78    6.99     525

Int Range: [7,10]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
    1.87    5.04    4.77    3.94    3.65    8.42    1155
    5.04    5.52    6.34    3.01    1.97    8.31    1155
    5.52    5.86    5.87    2.66    2.49    8.36    1155
    5.86    6.11    6.48    2.32    1.83    8.31    1154
    6.11    6.34    6.71    2.09    1.60    8.32    1155
    6.34    6.57    6.24    1.96    2.18    8.41    1155
    6.57    6.80    7.03    1.78    1.44    8.46    1154
    6.80    7.09    6.53    1.68    2.10    8.62    1155
    7.09    7.53    7.21    1.71    1.80    9.01    1155
    7.53    9.38    8.70    1.54    0.78    9.47    1154
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.07    0.07    6.76    1.95    0.73    7.49    1155
    0.07    0.07    6.21    1.61    1.48    7.69    1155
    0.07    0.08    5.68    2.28    2.40    8.08    1155
    0.08    0.08    6.76    1.93    1.43    8.19    1154
    0.08    0.08    7.08    1.70    1.11    8.19    1155
    0.08    0.08    6.52    2.65    2.12    8.63    1155
    0.08    0.09    6.20    2.48    2.56    8.76    1154
    0.09    0.09    6.82    2.96    2.53    9.34    1155
    0.09    0.09    7.04    2.13    2.45    9.49    1155
    0.09    0.10    6.81    2.99    3.04    9.85    1154

Int Range: [10,12]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
    1.01    6.02    5.50    6.21    5.88   11.37     908
    6.02    6.74    7.30    4.91    4.01   11.31     907
    6.74    7.22    7.77    4.30    3.52   11.29     908
    7.22    7.60    7.00    3.82    4.25   11.24     907
    7.60    7.92    7.42    3.50    3.84   11.26     908
    7.92    8.26    7.57    3.17    3.68   11.25     907
    8.26    8.59    7.80    2.83    3.46   11.26     908
    8.59    8.93    7.83    2.55    3.47   11.30     907
    8.93    9.38    8.49    2.18    2.83   11.32     908
    9.38   10.89    8.58    1.76    2.93   11.51     907
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.10    0.10    7.32    3.44    3.17   10.49     908
    0.10    0.10    7.34    2.48    3.15   10.49     907
    0.10    0.11    8.34    3.06    2.40   10.74     908
    0.11    0.11    7.32    3.48    3.87   11.19     907
    0.11    0.11    7.67    2.74    3.77   11.44     908
    0.11    0.11    8.71    3.32    2.78   11.49     907
    0.11    0.11    7.56    3.67    3.89   11.45     908
    0.11    0.12    7.47    5.24    4.39   11.86     907
    0.12    0.12    6.73    4.02    5.26   11.99     908
    0.12    0.12    6.81    3.80    5.18   11.99     907

