OOS Cutoff = 2015-01-01
Int Range: [0,7]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
Int Range: [12,13.5]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
    0.10    5.16    5.78    8.65    6.97   12.75     816
    5.16    6.00    7.61    7.09    5.10   12.70     816
    6.00    6.61    6.11    6.36    6.57   12.68     816
    6.61    7.11    6.89    5.81    5.78   12.67     816
    7.11    7.56    8.36    5.34    4.33   12.68     816
    7.56    7.99    6.86    4.94    5.85   12.70     816
    7.99    8.40    7.60    4.50    5.09   12.69     816
    8.40    8.89    8.28    4.06    4.41   12.69     816
    8.89    9.53    8.37    3.54    4.35   12.73     816
    9.53   11.73    9.92    2.69    2.87   12.79     816
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.12    0.12    7.37    5.01    4.93   12.30     816
    0.12    0.12    6.42    5.63    5.97   12.39     816
    0.12    0.12    8.10    3.92    4.29   12.39     816
    0.12    0.12    7.39    5.87    5.00   12.39     816
    0.12    0.13    7.80    5.11    4.73   12.53     816
    0.13    0.13    7.38    6.11    5.44   12.82     816
    0.13    0.13    7.21    5.27    5.74   12.95     816
    0.13    0.13    9.35    3.81    3.63   12.98     816
    0.13    0.13    6.92    6.31    6.09   13.01     816
    0.13    0.14    7.84    5.93    5.49   13.33     816

Int Range: [13.5,15]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
    0.34    5.21    4.95   10.08    9.24   14.18     851
    5.21    6.12    7.88    8.51    6.32   14.20     850
    6.12    6.84    6.96    7.75    7.28   14.23     850
    6.84    7.42    8.91    7.12    5.34   14.24     851
    7.42    7.94    7.98    6.55    6.25   14.23     850
    7.94    8.49    8.90    6.06    5.37   14.27     850
    8.49    9.01    8.09    5.54    6.21   14.30     851
    9.01    9.62   10.13    4.98    4.15   14.28     850
    9.62   10.48   10.14    4.31    4.19   14.33     850
   10.48   13.10    8.39    3.25    6.05   14.44     850
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.14    0.14    7.82    6.94    5.84   13.66     851
    0.14    0.14    8.89    4.60    4.77   13.66     850
    0.14    0.14    9.36    6.84    4.32   13.68     850
    0.14    0.14    7.16    6.62    6.86   14.02     851
    0.14    0.14    8.62    6.55    5.67   14.29     850
    0.14    0.15    7.10    6.35    7.21   14.31     850
    0.15    0.15    8.12    6.45    6.24   14.36     851
    0.15    0.15    8.51    7.14    6.26   14.77     850
    0.15    0.15    8.78    5.87    6.21   14.99     850
    0.15    0.15    7.98    6.79    7.01   14.99     850

Int Range: [15,17]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
   -7.12    2.83    1.64   15.22   14.41   16.05     631
    2.83    4.46    5.68   12.33   10.38   16.06     631
    4.46    5.57    2.15   11.01   13.91   16.06     630
    5.57    6.45    4.39   10.04   11.67   16.07     631
    6.45    7.18    5.98    9.25   10.08   16.06     630
    7.18    7.87    8.97    8.50    7.05   16.03     631
    7.87    8.54    8.48    7.84    7.55   16.03     631
    8.54    9.38    7.76    7.11    8.29   16.04     630
    9.38   10.37    9.21    6.19    6.84   16.05     631
   10.37   13.52   10.26    4.89    5.81   16.07     630
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.16    0.16    6.71    9.42    8.89   15.59     631
    0.16    0.16    9.06    6.60    6.54   15.60     631
    0.16    0.16    5.36   10.73   10.23   15.60     630
    0.16    0.16    6.14    8.48    9.49   15.64     631
    0.16    0.16    8.01    8.65    7.98   15.99     630
    0.16    0.17    4.25   10.16   11.74   15.99     631
    0.17    0.17    6.86    9.34    9.42   16.28     631
    0.17    0.17    5.73    7.50   10.78   16.51     630
    0.17    0.17    5.50   11.37   10.99   16.49     631
    0.17    0.18    6.89   10.14    9.95   16.84     630

Int Range: [17,20]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
   -9.38    0.91   -2.59   20.30   21.40   18.81     686
    0.91    3.17    1.11   16.34   17.40   18.51     686
    3.17    4.59    5.42   14.47   12.97   18.39     686
    4.59    5.59    1.86   13.19   16.44   18.30     685
    5.59    6.56    6.15   12.14   12.07   18.22     686
    6.56    7.54    5.83   11.15   12.38   18.22     686
    7.54    8.40    5.34   10.20   12.82   18.16     685
    8.40    9.39    4.12    9.32   14.08   18.20     686
    9.39   10.57    7.39    8.23   10.80   18.19     686
   10.57   14.31    8.47    6.63    9.80   18.27     685
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.17    0.18    3.72    9.66   13.42   17.14     686
    0.18    0.18    2.97   11.85   14.17   17.14     686
    0.18    0.18    4.87   10.91   12.84   17.71     686
    0.18    0.19    6.67   10.74   11.14   17.81     685
    0.19    0.19    6.71   10.91   11.21   17.92     686
    0.19    0.19    7.37   11.64   11.06   18.43     686
    0.19    0.20    3.96   12.42   14.63   18.59     685
    0.20    0.20    3.86   14.79   15.29   19.15     686
    0.20    0.21    4.69   13.61   14.70   19.38     686
    0.21    0.21   -1.72   15.46   21.71   19.99     685

Int Range: [20,30]
  LAlpha  UAlpha     ROE    DExp    DAct    Rate     Num
  -10.84   -3.30   -6.74   28.30   29.88   23.14     311
   -3.30   -1.42   -4.31   25.42   27.43   23.12     311
   -1.42    0.17   -2.16   23.72   25.29   23.13     311
    0.17    1.53    2.80   22.46   20.53   23.33     311
    1.53    2.81    0.47   21.08   22.76   23.23     311
    2.81    4.15    1.99   19.46   20.97   22.96     311
    4.15    5.45    6.24   18.34   16.89   23.13     311
    5.45    7.00    6.81   16.76   16.13   22.95     311
    7.00    9.20    4.56   15.00   18.43   22.99     311
    9.20   17.28    6.61   11.69   16.51   23.12     310
    LIRR    UIRR     ROE    DExp    DAct    Rate     Num
    0.21    0.22    5.49   17.07   15.19   20.68     311
    0.22    0.22    4.24   20.22   16.75   20.99     311
    0.22    0.23    2.54   17.02   18.92   21.46     311
    0.23    0.24    1.51   21.06   20.48   21.99     311
    0.24    0.25    3.19   19.18   19.39   22.58     311
    0.25    0.26   -0.76   18.34   23.95   23.19     311
    0.26    0.27    5.31   21.07   18.79   24.10     311
    0.27    0.27   -3.42   22.43   28.14   24.72     311
    0.27    0.28    0.70   22.33   24.81   25.52     311
    0.28    0.29   -2.57   23.52   28.45   25.88     310


MinAlpha	ROE	Count
-5	6.55	58625
-4	6.57	58493
-3	6.63	58291
-2	6.64	58026
-1	6.71	57681
0	6.76	57260
1	6.82	56717
2	6.89	55963
3	6.99	54984
4	7.06	53271
5	7.26	49185
6	7.55	39109
7	8.06	27316
8	8.31	17352
9	8.81	9182
10	9.00	3996
11	9.92	1495
12	10.04	478
13	11.19	107
14	10.71	38
15	18.61	12

Forest Importance
('purpose', 0.0019360759594871802)
('even_loan_amnt', 0.0031205584359722694)
('loan_amnt', 0.0062821105010482589)
('total_acc', 0.01343899393178636)
('installment', 0.017768317264204279)
('urate_chg', 0.018872340296617791)
('clean_title_rank', 0.01955678299250966)
('urate', 0.02008760631686882)
('revol_util', 0.020280629788583773)
('int_pct_inc', 0.021120884689460141)
('annual_inc', 0.021290666866062732)
('pct_med_inc', 0.02129178831748035)
('home_ownership', 0.022205910127594309)
('revol_bal_pct_inc', 0.022307676083609021)
('emp_length', 0.022574460305823468)
('revol_bal-loan', 0.02446692245370229)
('credit_length', 0.028516569603977505)
('hpa4', 0.02865997061466885)
('caploC', 0.031142590000843389)
('dti', 0.031751577870785259)
('pymt_pct_inc', 0.044231842853280599)
('ctloC', 0.059101487242508285)
('sub_grade', 0.49999423748312566)


Forest Parameters
oob_score: False
n_jobs: 8
verbose: 0
min_density: None
compute_importances: None
max_leaf_nodes: None
bootstrap: True
min_samples_leaf: 400
n_estimators: 200
min_samples_split: 2
random_state: None
criterion: mse
max_features: auto
max_depth: None
